repo_owner,repo_name,issue_number,pr_url,commit_url
bitshares,bitshares-core,1660,https://github.com/bitshares/bitshares-core/pull/1662,https://github.com/bitshares/bitshares-core/commit/c078ffbf646237e2a283a80179a689d77610a852
bitshares,bitshares-core,1619,https://github.com/bitshares/bitshares-core/pull/1716,https://github.com/bitshares/bitshares-core/commit/fa38ee46524f638d6cefde20d39e575a0e762000
bitshares,bitshares-core,740,https://github.com/bitshares/bitshares-core/pull/743,https://github.com/bitshares/bitshares-core/commit/b7ae96fdcb17329107ea7defe91a334ac902b019
bitshares,bitshares-core,702,https://github.com/bitshares/bitshares-core/pull/706,https://github.com/bitshares/bitshares-core/commit/252132fddbcfcce19866160412506f2b799f2a86
quick-lint,quick-lint-js,915,https://github.com/quick-lint/quick-lint-js/pull/1202,https://github.com/quick-lint/quick-lint-js/commit/0c5e97152cf0f991d8238aa84fe0dde11cc16137
NREL,EnergyPlus,9027,https://github.com/NREL/EnergyPlus/pull/9028,https://github.com/NREL/EnergyPlus/commit/ff568f7733204d88c810b10b3c792fe6b9c2a188
roc-streaming,roc-toolkit,617,https://github.com/roc-streaming/roc-toolkit/pull/625,https://github.com/roc-streaming/roc-toolkit/commit/4b501a825cf188da0237ef0c73520ee3e49ad3ca
CNugteren,CLBlast,415,https://github.com/CNugteren/CLBlast/pull/416,https://github.com/CNugteren/CLBlast/commit/aec45ea63755a7a9414d7c6a81d570200e948806
EasyRPG,Player,3163,https://github.com/EasyRPG/Player/pull/3177,https://github.com/EasyRPG/Player/commit/72749b7a94ea09ec59870e099aac9bbf5de89a45
EasyRPG,Player,2509,https://github.com/EasyRPG/Player/pull/2513,https://github.com/EasyRPG/Player/commit/a086820de8eadbd830f3aa5ebf822d548a465879
EasyRPG,Player,2437,https://github.com/EasyRPG/Player/pull/2439,https://github.com/EasyRPG/Player/commit/3e01bf033b70b8c89d2b946710d1edb0cc748efb
EasyRPG,Player,2229,https://github.com/EasyRPG/Player/pull/2231,https://github.com/EasyRPG/Player/commit/a5a43c694192c8e9e2d1499363325365135afbcc
EasyRPG,Player,1939,https://github.com/EasyRPG/Player/pull/1940,https://github.com/EasyRPG/Player/commit/18753750ff971321d39e2a8a8bb90212af987103
